,review,sentiment
700,yaaa darurat bgini,Negative
701,kemarin dsn lusa adbmkg solusi akurasi,Positive
702,manfaat,Positive
703,mantab salut,Positive
704,terbantudalam perencanan,Positive
705,manfaat,Positive
706,canggih up to date,Positive
707,tlong perbaikin,Negative
708,wajib survey angin kencang serta dampak banjirlongsor,Positive
709,akses,Positive
710,percaya iklim iklim,Positive
711,suka indonesia,Positive
712,pedoman laku,Positive
713,mantap,Positive
714,informasih mancanegara,Positive
715,terupdet,Positive
716,mudah,Positive
717,si cuman lengkap,Positive
718,tulasan zoom permanen,Positive
719,gunung api banjir air tanggul,Positive
720,ubah posisi belah suka,Positive
721,jd ttg,Positive
722,lemotga gercep ngasih,Negative
723,sumber,Positive
724,oke cuman sm bingung mw cri tinggal skrg jayapura lg tp mending google dana maksimalin jgn kantong,Negative
725,enak maritim depan skg cuman liat,Positive
726,manfaat,Positive
727,rakyat,Positive
728,waspada jaga lestari imbang ekosistem,Positive
729,lengkap,Positive
730,maaf gue ksh minus cek web negara asing bilang rawan lebat untung gue antisipasi rumah basah kuyup sayang percaya jgn fokus jakarta,Negative
731,tektonik,Positive
732,lbh depan canggih,Positive
733,manfaat tahan,Positive
734,otomatis pindah,Positive
735,jarak pusat ragu,Positive
736,mantap tp,Positive
737,up to date,Positive
738,maps citra satelit zoom mudah cari zoom menu siar pers,Positive
739,baca aktif,Negative
740,mending instal parah abiis,Negative
741,mudah,Positive
742,cari sesui,Negative
743,arah angin menu nataru tuju tolak datafakta atur amat arah angin,Positive
744,ikon putihsegera logo,Positive
745,loading,Negative
746,ndak android jaring,Negative
747,makn aneh mendngan dlu pake animasi skarng jga mkn tmbh kaya pro kaya maen animadi dngn gambar kartoon maaps jga msh global hibrid,Negative
748,kuning tp nihil,Negative
749,pasca lambat pasca,Negative
750,udh kena gejala atur manual suka geser error mental mic binggung gue,Positive
751,susah terbukalalot bngt,Negative
752,radar sasar sentuh situasi utama anak sekolah fatal tibatiba anak sekolah rawan sakit zona bebas korupsi zona beteknologi mutakhir canggih,Positive
753,klau turun sumbawa kec palampang spayung karna pernh kering kmi tani,Positive
754,offline,Negative
755,camat desa sistem lapor adu dampak banjir mudah pinta tim sar tim selamat banjir longsor tangan lapor akses jaring offline jaring,Positive
756,jdi repot mest dlu,Positive
757,sempurna uji coba sempurna tinggal nambah jang rubah menu timbang tunggu,Negative
758,abis diupdate lemotbuka loadingnya lamaaaaaaaa,Negative
759,dlm,Positive
760,fresh kompleks,Positive
761,cmn layar putih doanghapus,Negative
762,telat air sdah rumah,Negative
763,koma liat teman teman beluk koma celcius sekian dri sayaterima,Positive
764,dibenerin lahsering error dahpas sendiripadahal memory banyakemang sana error arti,Negative
765,responsif,Positive
766,menu real time ubah tanggal ubah,Positive
767,menggangu radius dampak profesional,Negative
768,akuratd daerah rawan hujantrs ngaco lagiintinya akuratmnurutku gagalga sempurnatlonk,Negative
769,habis map blank,Negative
770,bug aplk,Negative
771,nyesal gua udh maritim seblumnya peta,Negative
772,install tutup kagak hadehh,Negative
773,lagu anak sekolah klik temu nonton bareng hasil,Negative
774,susah harus,Positive
775,tlg ad,Positive
776,lot njiir,Negative
777,payah muka tel patah sesar warna warna,Negative
778,ui bel keras asa magnitude,Positive
779,jg via sms krn daerah sulit sinyal internet early warning sistem,Positive
780,suka telat,Positive
781,butuh institusi terus realtime kait lainlain depan sosialisasi kait mitigasi,Positive
782,jujur freshtpi memberitahukan gun,Positive
783,peta ditambahin bayang ato shadow patah tahu netizen,Positive
784,diupdate susah bgt aplikasinyanotifnya lelet,Negative
785,tinggal klu sirinenya,Positive
786,lancar lgi,Negative
787,manfaat,Positive
788,android internal gb ram gb internet lancar mas mending,Negative
789,milik bug tutup samsung,Positive
790,lot bangetdibuka loading lamapdhal ram parah,Negative
791,manfaat cuacagempa,Positive
792,install blank putih pake wifi tetep uninstall,Negative
793,upgrade gmn gitu maritim friendly,Negative
794,tulis potensi,Negative
795,berat loadingnya star,Negative
796,si abis,Negative
797,aneh duluu jd bingung lihat,Negative
798,jarak beda pulau sayapadahal rencana rute pulang hindar rawan banjir edit bugnya,Negative
799,suka butuh liat nama pulau gakda nama pulau nyatu kemarin msih nama pulau klik potong garis tu kthuan air ap nama jelek kecewa,Negative
800,coba super keras harap terobos,Positive
801,otomatis klik icon share icon share halaman,Positive
802,munculresfonsif slalu resfon notifnya,Negative
803,ko mudah jg paham aktual,Negative
804,jau,Negative
805,salah kntl bilang minggu nyata mulu cuci sampe numpuk gara nunda jemur,Negative
806,akurattapu kayak asing qselain teks keciljuga lamakalau joss,Positive
807,harga,Positive
808,susah bukatau gin mah gua bakaln,Negative
809,tanggal tanggal tanggal warga komplen,Negative
810,td pagi subuh getar pagi,Negative
811,sayang telat kecewa,Negative
812,ngaco telat harap,Negative
813,asa cianjur knpa tanggal kemaren real time,Negative
814,ngasih tanggal bener,Negative
815,tanggal realtime salah lambat,Negative
816,bangtt lot bangt gue jarang lot,Negative
817,usul pakuntuk potensi aplikasikami tinggal nerdekatan patah australia pegang durasi lari capai ketinggiansemoga cipta senantiasa berkah tuhan maha kuasa,Positive
818,manfaat,Positive
819,manfaat ews standart internasional os android ngalamin ews android ews manfaat salah provider kirim iklan,Positive
820,fungsi,Positive
821,emg bner masamasa rawan sdah modern enak mata harap depan,Positive
822,kokgak jaring kuat nyesel upgrade gin mending notifnya,Negative
823,suka kemaren buka layar putih,Negative
824,install,Positive
825,mantap,Positive
826,parah,Negative
827,teras ngga hati miris pantai,Positive
828,ko mentok mulu ngulang,Negative
829,qo engga terang guncang engga liat,Positive
830,dapet,Positive
831,sbg bahan referensi,Positive
832,ko pasangtolong aplikasih,Negative
833,keburu mati timpa runtuh,Negative
834,sampah uninstall install,Positive
835,nunjukin cepet seraching mbah google kirain pasang cepet,Negative
836,hapus bug map citra satelit mentug,Positive
837,paham mati mending gampang erti akurasi,Negative
838,habis internet lancar stabil,Negative
839,mantap,Positive
840,eh ko jelek,Positive
841,voice notice admin rupa trimakasih,Positive
842,kualitas udara bs rubah camat cipatat ilang padalarang cianjur,Positive
843,dllu karna susah ngeload,Negative
844,agustus kendala,Negative
845,ui asa fresh liat,Positive
846,citra satelit radar butek kabut ngga harap harap benah,Negative
847,manfaat,Positive
848,lambat bahaya,Negative
849,kabupaten gabung sulit mecari kabupaten campur aduk,Positive
850,pemberitahuannotifikasi real time,Positive
851,keren cuman telat updatenya tp mantap,Positive
852,warga kab cianjur cianjur tgl,Positive
853,aktif,Positive
854,radar,Positive
855,buka atas,Negative
856,ngasih lelet gimana potensi mikirin tinggal pantai,Negative
857,cianjur darurat berulangkali susul responnya lambat bbrp puluh tlng lbh responnya cipanas november,Negative
858,semenjak suka error tanggal cianjur tanggal salah,Positive
859,diupdate dibukacuma blank putih,Negative
860,udh unduh tpi unduh jdi ngebleng putih yah kak posisi cianjur nih ka rawan gempaaa,Negative
861,blank akses android mhn kece,Negative
862,habis android,Negative
863,berat lelet niat,Negative
864,lambat,Negative
865,loading pakai jaring wifi kuat sinyal koneksi mbps sisa ruang simpan telepon gb ram gb sisa ruang gb,Negative
866,setting pakai jamjgn jamcukup membingungkancontoh skrg tp tulis mudahtrima kasihsemoga,Positive
867,whitescreen,Negative
868,sodara aktif,Positive
869,fix bug udh coba unlinstal trs instal clear cache hapus hadeuh,Negative
870,layar warna putih,Negative
871,informatif jaga kewaspadaansaran info sr krn,Positive
872,gimana diupdate kmrn nih,Negative
873,ngeblank putih gabisa,Negative
874,langsunh up,Negative
875,berat,Positive
876,gunaga,Negative
877,diupdate new version blank putih samsek edit ngeblank putih hapus login,Positive
878,pusat,Positive
879,informatif lengkap,Positive
880,baharu loading,Negative
881,android hapus white scerean pokok cuman putih putih doank hapus reset masak white screan,Negative
882,lagisering salah lambat memprediksisetelah upgrade jd amburadul,Negative
883,error gabisa hadehhh,Negative
884,bug blank putih kgk,Negative
885,loading terossss,Negative
886,baharu loadingnya updatenya mndngan garcep,Positive
887,ganti instal apknya neng udh nunggu uinya diupgrade eh kaget appnya nyata uinya udh bener makasih peduli apknya harap pasang sistem ews hpnya kaget ngadepin sukses sistem ews implementasi kaya skrg,Positive
888,harap depan rupa bahayauntuk semua,Positive
889,kece fungsi blank kece,Negative
890,icon bingung langit biru arti mendung ato gimana dah,Positive
891,makasih,Positive
892,ngeblank warna putih gitu ngeblank ulang tetep ngeblank,Negative
893,udh install telat butuh cianjur,Positive
894,pakai tutup login masukmasuk,Negative
895,eror blank warna putih instal ajh udh lgi blank,Negative
896,perangkat samsung temu saran nonaktif,Negative
897,enak grafik simpel paksa turun,Negative
898,sdh reinstall loading pd sinyal jaring,Negative
899,rusak jelek ganti ganti demgan mudah citra satelit gajebo statistik jarak arah mata angin rusak parah server tpi buka ganti kulit ganti system server berat berat sistem server ngabisin anggar worted bgt up,Negative
900,peringkat pilih,Positive
901,ko lot susah,Negative
902,upload ko unistal lg,Negative
903,peta sesar,Negative
904,install aman klik eh blank putih uda kayak sopi,Negative
905,fress mudah depan citra satelit real time basis komersial,Positive
906,freshlebih rinci terkadang tulis bug,Positive
907,buka android,Positive
908,susah spek processor sd ram gb internal gb sisa gb jaring full,Negative
909,telat,Negative
910,sukses,Positive
911,jelasliat daftar bingungmalah pusing inti jelas daftar benergak letak jelas mudah,Negative
912,ulang pasti,Positive
913,coba sound,Positive
914,infonyaselalu,Positive
915,hadeh error gimanana mlk pmrnth aneh,Negative
916,erorr nggk bukalebih,Positive
917,ngasih udh,Negative
918,sulit,Negative
919,smenjak hancur susah loading krn kyknya kemarin dah mudah loadingnya,Negative
920,blank putih restart tutup blank putih,Negative
921,custom,Positive
922,buck layar putih doang,Negative
923,nga,Positive
924,lumayan canggih depan dukung,Positive
925,pintar oon,Negative
926,dibukasaat jaringn stabil tidk kebuk,Negative
927,fungsi voice,Positive
928,puas pray for cianjur,Negative
929,siaga,Positive
930,ko akses dlu mudah akses,Negative
931,upgrade lot telat kalah tv swasta,Negative
932,optimal peta guncanganagar spesifik,Positive
933,login lah,Negative
934,seing error fix,Negative
935,bener,Negative
936,pake fresh tinggal,Positive
937,rusak apknya loading truss hari beres beres,Positive
938,cb installangsung cb aplikasieh layar putih ajahadeeeh ajabiar kemjuan supot semangat,Positive
939,parah loadingnya,Negative
940,baharu jelek susah buka,Negative
941,loading,Negative
942,sumpah ngeselin liat aj kali apdet buruk,Negative
943,kualitas lot bgt lumayan menit trus sinyal warning ngak jdi fungsi sayang dana dipake gede ni kayak ndak maksimal,Negative
944,asa berat,Positive
945,stabil loading pakai seluler wifi internet lumayan kenceng stabil,Positive
946,bug,Positive
947,berat lot,Negative
948,server error lancar aj koneksi internet loading ngak terperoses,Negative
949,kelola lu busukbagian liat loading cari it bobot,Negative
950,muter loading gi dih,Negative
951,lot,Negative
952,loading,Negative
953,baharu lot,Negative
954,lot parahh pakai skrg auto uninstal lgi telat,Negative
955,susah akses blank putih,Negative
956,apliksi gimna,Negative
957,knp login yak,Positive
958,butuh muter kyak gasing internet mu mbpstak,Negative
959,muter,Negative
960,semenjak updatean loading jaring stabil,Negative
961,lot loading kgk mslah loading kgk slesai crashauto kluar,Negative
962,loadingny banding,Positive
963,lot jelek baru jelek,Negative
964,udh kali susah manpak loading trus,Negative
965,lot buffering,Negative
966,upgrade nambah bukaa aneh,Negative
967,loading dah loading,Negative
968,jelek muter muter instal ulang muter doang liat instagram,Negative
969,an kl susah aolikasinya nge lag parahhhhh,Negative
970,diupdate apps cacat,Negative
971,beutpadahal pakai wifi,Negative
972,apa loading jaring sungguh kecewa turun performa,Negative
973,knp lot mudah mudah,Negative
974,ngeleg sinyal nonton youtube lancar muter,Negative
975,loading sinyal,Negative
976,susah,Negative
977,up deat lot susah,Negative
978,resmi lot,Negative
979,loading,Positive
980,apdet gabisa kosong,Negative
981,android dgn sisa simpan gb ram udh coba uninstall install ulang refresh clear cache jg pengaruh sinyal internet stabil,Negative
982,baharu sumpah tolol,Negative
983,tapj sayang lot,Positive
984,semenjak stack mulu brapa dapet apapunstack loading screen cepet nyari twitter,Negative
985,upgrade nih bututtttttt,Negative
986,lot,Negative
987,abis nge bug pemberitahuannya,Positive
988,jd ngelag gw peduli mw perintah lag gw bilang utama jujur,Negative
989,error jelek,Negative
990,abis loading lot jaring,Negative
991,kesini berat,Negative
992,cacad ui load,Negative
993,lot ux,Negative
994,susah dimengertigk kayak mudah erti iklim maritimkeadaan dilauttidak dulutolong engak tutorial pandu,Negative
995,maaf mi tp share,Negative
996,diupdate rawan,Negative
997,buruk responsif kalah real time ama google earthquake tinggal ketik browser up to date muser muser out bug,Negative
998,bagusdan jarak tinggal dg pusat utama propinsi,Positive
999,mantap aplikssi nyah nyah deh cynx nyah aplikssi nyah loding,Positive
1000,cek loading situs youtube cepet,Negative
1001,lot crash,Negative
1002,lot ngga kaya,Negative
1003,berat,Negative
1004,keren akurasi,Positive
1005,lengkap gatau fungsi tombol microphone wkwk,Positive
1006,alhamdulilah mantul,Positive
1007,blank hitam menu,Negative
1008,terang nyesel gw ribet ringkas gimana lg,Negative
1009,bolak sya install dibukaniat bkin,Negative
1010,ribet,Positive
1011,ko baru lodingnya,Positive
1012,mode ribet icon hilang,Positive
1013,trus badai bilang ringan,Negative
1014,diupdate putih doangjelek,Negative
1015,tarik,Positive
1016,fresh halaman utama,Positive
1017,susah lamabisa lht,Negative
1018,msh bug penerbangansangat tekan tombol panahrespon lamakemudian tutup sendirisangat mengganggutolong fixed,Positive
1019,dark mode irit baterai,Negative
1020,semenjak diupdate lot ribet suka,Negative
1021,tarik isi bosan,Positive
1022,keren modern mudah,Positive
1023,ajar apresiasi ubah lengkap radar citra satelit mudah so thanks for really appreciate,Positive
1024,sngat bguss pemberitahuanya,Positive
1025,suka wilayah mudah,Positive
1026,keren bgd poko sukaaak,Positive
1027,jelek ribet simple mudah paham susun rapih,Negative
1028,karuan kacau mending kemarin,Negative
1029,alhamdulillah manfaat kesiapsiagaan hadap tahan,Positive
1030,apdet kegempaantdk hpklo apdetada hpkatanya mitigasi bencanamohon,Negative
1031,fresh ui adaptasi modus area lapang mobile hadap tani,Positive
1032,informasi peta patah cari peta cakup kena musti evaluasi,Positive
1033,tahan dark mode kak,Positive
1034,review november tatap muka jelek teduh kemarin,Positive
1035,alhmdllh sngt mmbntu dlm brktivits krn bs situasi,Positive
1036,enak jadul,Positive
1037,updateannya tarik user partisipasi,Positive
1038,animasi,Positive
1039,tunggu,Positive
1040,optimal radar citra satelitnyaradar bentuk gambar video gerak arah mata angindan akumulasi jamjamdan kedepanfitur radar adakalau radar applikasi windy keren tambh keren,Positive
1041,ui nyaman,Positive
1042,ui nyaman baris,Positive
1043,jgn ajaboleh,Positive
1044,gile,Positive
1045,puas tuk depan sukseskarena nyawa manusia republik,Positive
1046,petir nih tp apps rawan doang dri kmren sampe besok aneh the weather channel,Negative
1047,tinggal pinggir pantai inisemoga khusus blampung apdet,Positive
1048,lambat up trust apl,Negative
1049,lambat mudahmudahan depan,Positive
1050,beranda layar utama menu,Positive
1051,sgt unt monitor diupdate sgt pake unt aktifitas krjdan mobile,Positive
1052,pilih,Positive
1053,suka cek banding kasih layar beranda,Positive
1054,iklim sekitar,Positive
1055,bagusssaya mendonlod,Positive
1056,dgn sungguh kemarin,Negative
1057,lambat coba benerinmasa delay jauhmana early warning,Negative
1058,maritim,Positive
1059,pakai lambat pusat depan tindak lanjut,Negative
1060,ku lapor tgl,Negative
1061,atas rawan rupa,Negative
1062,valid planning,Positive
1063,oke sihh sya percaya perfect maju,Positive
1064,kerja,Positive
1065,rekomendasi,Positive
1066,isi ilmu cakup posisi informatif depan thanks,Positive
1067,ter up to date,Positive
1068,alhamdulillah sya perakiraan skitar kokas sya trims,Positive
1069,instal,Positive
1070,dlm,Positive
1071,mudah,Positive
1072,sgt manfaat shg tindak,Positive
1073,kaya cuman sayang fiture camat cikande,Negative
1074,malihat,Positive
1075,jayapura keerom arso kemarin kemarin tulis gimana meleset,Negative
1076,puas,Positive
1077,mantap suhu udara maju,Positive
1078,kasi kotak cari cari lokasinyaterima,Positive
1079,canggih,Positive
1080,apknya titi guncang siaga malam tidur,Positive
1081,hallo smartphone android,Positive
1082,auto location,Negative
1083,pergi pergi,Positive
1084,sukses trus,Positive
1085,karna sangatembantu panas temu gemba,Positive
1086,tv letak kuat,Positive
1087,mantap trus semangat manfaat,Positive
1088,manfaat bangsa,Positive
1089,vivo akses rajin mengupdate hape fungsi manfaat,Negative
1090,pedoman kerja lapang,Positive
1091,batu lokasih,Positive
1092,bener rasa kuat eh cepet provinsi lampung terang temu emang lampung provinsi ngaco,Negative
1093,hujanggempadan,Positive
1094,tempat tgl agustus diapk rawan camat prakiraanx brrti cakup kabupaten,Negative
1095,butuh sayaorang manula,Positive
1096,bnkg offline apablia koneksi internet hilang mudah,Positive
1097,lambat sekrang respons mnit blum tahu,Negative
1098,memberitahukan,Positive
1099,simple ribet,Positive
1100,informatif manfaat kait iklim,Positive
1101,mantap,Positive
1102,ubah,Positive
1103,aktifitas hari,Positive
1104,dang,Positive
1105,yng dn matap,Positive
1106,level peringkat semerutekhnologi,Negative
1107,ubah,Positive
1108,batu,Positive
1109,enya,Positive
1110,utama,Positive
1111,tanggap,Positive
1112,sayang pasang surut air,Positive
1113,informatif aplikator sehat sukses aamiin,Positive
1114,coba atur terupdate,Negative
1115,informatif,Positive
1116,kabar warga dampak karna telat menit warga pesisir pantai panik tenang evakuasi atw gabung ofrator nomer ponsel ngasih masarakat dampak hususnya pesisir pantai karnakan masarakat atw milik,Positive
1117,biasaa kerja keras profesional,Positive
1118,laku,Positive
1119,rerbaru,Positive
1120,beranda atur atur menu pilih kabupaten ui susah navigasi bayang scroll bawah susah ampun,Negative
1121,kait,Positive
1122,susah scroll hari euyyy pra percaya,Negative
1123,bmkgnya,Positive
1124,cuacakhusus profesi kamitrimks,Positive
1125,tani trimakasih,Positive
1126,pagi mkg bawa adala tani bar sukasaaaaa,Positive
1127,evakuasi,Positive
1128,cuacagempa,Positive
1129,potensi ulang lokasia notifikasi info user bingung susul,Positive
1130,manfaat,Positive
1131,bumimau jaring,Negative
1132,lmbat,Negative
1133,salah didownload udara sekitar,Positive
1134,untung camat,Positive
1135,manfaat,Positive
1136,pilih lai,Positive
1137,tambahin keras kedengeran,Positive
1138,batu semangat kru team,Positive
1139,makasih udh tp gada ngatur ribet tp gapapa ditingkatin lg,Positive
1140,lainlainnya,Positive
1141,pergi,Positive
1142,brosing,Positive
1143,dehsoalnya jalan liat dulumakasih,Positive
1144,mudah traveling kait,Positive
1145,manfaat,Positive
1146,informatif,Positive
1147,iya aplakasi,Positive
1148,indeks uv,Positive
1149,realtime,Positive
1150,mendung,Negative
1151,manfaat terimah,Positive
1152,input manual perangkat,Negative
1153,telat,Negative
1154,lambat ngak,Negative
1155,tdak,Negative
1156,kualitas udara lengkap nyari lokasi daftar,Negative
1157,lijat alat memambah riset ajar metode perhutungan kumpul mrndekati,Negative
1158,iklan,Positive
1159,aplikasih dmna pusat gemppa,Positive
1160,perakiraan,Positive
1161,lengkap,Positive
1162,alhamdulilah posisi,Positive
1163,tambah real time kayak negara lalu lempeng gerak otomatis hitung mundur inovasi terap insyaallah warga selamat antisipasi for you,Positive
1164,enak scroll susah geser kiri kanan,Negative
1165,slalu diupdate,Positive
1166,was was,Positive
1167,mutakhir,Positive
1168,butuh,Positive
1169,alas connection to android error,Negative
1170,live jam area peta area area tuju,Positive
1171,puas,Negative
1172,propesinya tani referensi nentukan tanam,Positive
1173,letak gempah,Positive
1174,petir rawan telat pasuntuk gempaiklimcuaca akuratpada tanggal maksud hujanintinya,Positive
1175,manfaat,Positive
1176,dipernaharui,Positive
1177,lambat up date,Negative
1178,mantap,Positive
1179,ngecek,Positive
1180,good sbelum berangkat,Positive
1181,regional harap bulak next widgetnya utama,Positive
1182,siar global tinggal sekitar pantai bahaya angin top gelombang waspada berhatihati upaya utama,Positive
1183,petaniapalagi ramal depan,Positive
1184,percaya manfaat,Positive
1185,manfaat ngga cuman lot,Positive
1186,kait,Positive
1187,sgt masyakat iklimcuaca siaga ubah iklim arah,Positive
1188,aktivitas seharihari sifat,Positive
1189,lg kualitas,Positive
1190,harap atur simpan pergi mudah cek,Positive
1191,liat negeri editing sisa edit ulang program layar negara klik negara pait edit ulang file negara negeri,Positive
1192,manfaat kaum kecilpetani nelayan buruh lepas,Positive
1193,manfaat suhu perubahsn iklim,Positive
1194,laku aktivitas seharihari,Positive
1195,menu atur atur pilih mudah susah cari cari shortcut cari,Positive
1196,pd terus sukses jaya amiin,Positive
1197,recomended,Positive
1198,gelombang,Positive
1199,kerja lapang,Positive
1200,batu utama laku petan batu karna laku dipredisi maju teruus,Positive
1201,terupdate musim uk dukung tani,Positive
1202,manfaat tp maaf ad sdkt mnrt lbh sirene by default milik laku antisipasi bahaya din,Positive
1203,parah,Negative
1204,informatif edukatif,Positive
1205,bagusaplikasibmkgcukupakurattapimasihkuranglengkapditingkatkanterusagarlebihbaik,Positive
1206,mudah,Positive
1207,sosial media,Positive
1208,mantep dunia,Positive
1209,tinggal the best dehh,Positive
1210,sekalidpt cepatsehingga waspada tetangga temen,Positive
1211,mantaptolong cepat,Positive
1212,luas,Positive
1213,mudah cari alamat tuju,Positive
1214,mengatahu seluru,Positive
1215,manfaat bangetjadi bepergianterima,Positive
1216,to,Positive
1217,mantap,Positive
1218,depan,Positive
1219,lingkung,Positive
1220,mantap percaya,Positive
1221,lengkap,Positive
1222,suka,Positive
1223,sbg kerja lapang,Positive
1224,informatif terupdate,Positive
1225,perubhan seluruh,Positive
1226,manfaat,Positive
1227,responsif,Positive
1228,sumber percaya,Positive
1229,it main zuma pc portal web lapor tugas skripsi anak anak skom beta bobrok badan perintah oknum sampah kompeten,Negative
1230,ramal,Positive
1231,manfaat widgetwidget mudah user thx,Positive
1232,optimal lambat pemberitauan malem sabtu apr an labotabahodopimorowali liat lamasekali beda dik,Positive
1233,scroll bawah disemputnakan sulit scroll bawah slalu diam lebah gampang scroll samping,Negative
1234,beda gitu bawa,Positive
1235,overall udh simpel becana,Positive
1236,bgt pdhal bal goyang nunggu an bener,Positive
1237,manfaat waspada,Positive
1238,mantul pusat tks,Positive
1239,makasih ku manokwari,Positive
1240,alamin ulah laku,Negative
1241,berkalikali pusat gimana hallo,Negative
1242,huh lambat,Negative
1243,yaaaaaaaaa deh komen,Positive
1244,lambat informasinyacoba,Negative
1245,cocok,Positive
1246,waspada hindar malapetaka,Positive
1247,aktivitas sadar sekrang,Positive
1248,minimal mesti cek twitter gampang mesti usaha delay settingan mudah otomatis manual setting pindah up to date yaa,Positive
1249,detik lengkap,Positive
1250,gampang liat,Positive
1251,hebat it semangat bangsa negara,Positive
1252,admin,Positive
1253,otomatis kaya jepangniru positif ko btw siang angin depok kmh selasa kmh rem hati hati waspada tuk area depoktuk ojol sabar semangat awasmotormogok,Positive
1254,kalok cek jawa timur,Negative
1255,mendesign logo minimal aplikasnyai simple minimal witget layar,Positive
1256,geser susah samping mulu sensitiv samping pelan pelan,Negative
1257,si ku angin kencang jabodetabek sabtu tv si ko beritahu kabar bener jagan panikin,Positive
1258,manusia akal berfikirlah kritis manusia cipta tuhan memberitahukan cuman rumah masingmasing perintah jasa,Positive
1259,bilang kesan lambat banding bmkgaeic info bmkgaeic install keduaduanya depan,Positive
1260,real time keluh atur petir legar karna menggangu aktivitas mobilitas karna gelegar getar cenat cenut dagdigdug,Positive
1261,selamat siang,Positive
1262,jazaakumullahu khoyran wabaarakallahu fiykum allah balas allah kah manfaat negeri lindung allah  makasih,Positive
1263,bmkgtapi sayangmisalnya contoh cerahjadi lambat asih informasinyamenurutku yes,Positive
1264,maaf izin teman jabar arti,Positive
1265,tahun tunggu terupdate kec way rata kab sawar,Positive
1266,ringan mudah,Positive
1267,apl,Positive
1268,alarm kaya,Positive
1269,lintas,Positive
1270,alhamdulilah berkat bs tmpt tejdi slnya tmpt sring trjdi,Positive
1271,ramal salah,Negative
1272,maaf akuratdaerah grimis apl mendung,Negative
1273,samgat brmanfaatbgiyg blum downlod buru krna ektrim kya skarang aplks sngt mmbntu,Positive
1274,jg kemarin malam magnitudo jakarta banten bayah,Positive
1275,ktik nama kluar kbayoran trus habisin memoei,Negative
1276,manfaat setatus lapor lambat terkadang,Positive
1277,respek inigempanya sdh lambatseperti magnitudo lombok,Positive
1278,asa kec natal kab mandailing natal sayang apl mohon apl paten,Positive
1279,admin yth kerjasamanya,Positive
1280,wa bahaya pburu ko catat si tunggu tunggu,Positive
1281,januari bengkulu selatan sr rilis apps yutub tribun manado bobok kek sioperator apps,Negative
1282,dlm posisi,Positive
1283,bangett,Positive
1284,cocok aktivitas,Positive
1285,lg,Positive
1286,ramal,Negative
1287,sungguh harap perintah perhatiandukungan mnjdi mutukualitasnya lengkap dg canggih negeri tsunamibarangkali tiru negara dg sistem sdh mumpunibekerjasama dg ilmuwanahli teknologi dg lbh tanggap thd peringatandeteksi,Positive
1288,oleh iklim,Positive
1289,luarbiasa waspada,Negative
1290,sorang utama angin,Positive
1291,fan manfaat,Positive
1292,ipo sngt tpi syg pemberitauan,Positive
1293,dear realtime user antisipasi karna bawa,Positive
1294,cepatmalah media sosial youtube wa telat menit,Positive
1295,telat bget updatenya dah dr br kluar,Negative
1296,makenya susah nyari daerah lombok barat ngk ketemu ketemu jakarta sumatra bal maaf kasi jengkel apus aplikasimya,Negative
1297,asli kalimantan timur aceh sambut masjid jawa timur bromonya kalbar tugu katulistiwanya kaltim sambut utan segitukah pusat anggap dg lampung kenal gajah palembang hariamau sumatera indah kaltim pulau maratua indah pantai,Negative
1298,gitu hemmm,Positive
1299,otomatis doang sangkut makasih,Positive
1300,harap depan tingkat maksimal berhungan,Negative
1301,usul user user,Positive
1302,ungsi,Positive
1303,lumayan baguscuman telat,Positive
1304,tambahin alaram otomatis alaram,Positive
1305,bawah etis komersil untung usaha instansi aktual nyata telat wajar sarankritik wajar bawah lumukegile sintinglu emang lukata departemen bapakluu,Positive
1306,ku letak,Positive
1307,uptodate hadap,Positive
1308,januari banten tinggal sukabumi rasa,Positive
1309,lamban selesai,Negative
1310,yth notifikasi android situs web himawari rdca terupdate,Negative
1311,laku tani,Positive
1312,telat,Negative
1313,iya suka untk cuacadsbgmaka dng mngucpkn trimaksih kpd admin,Positive
1314,negara masingmasing,Positive
1315,okay dev kirim kabar hubung,Positive
1316,bguss tpii anda pasti okee,Positive
1317,otomatis mudah anda makasih bahan timbang,Positive
1318,mantap manfaat,Positive
1319,apknya tambahin pacar yng sendang selingkuh,Negative
1320,nelayan cobacoba pake,Negative
1321,telat ui intuitif,Negative
1322,yah lambat,Negative
1323,atur tinggal,Negative
1324,komen deras petir bilang bilang rawan,Negative
1325,keren manfaat tq,Positive
1326,ku blm ada main,Negative
1327,lambat yah pelosok kayak sulawesi,Positive
1328,in,Positive
1329,peta kemarin peta trims,Positive
1330,error nggk gagal muat,Negative
1331,potensi,Positive
1332,otomatis,Positive
1333,halo otomatis utama earthquake tunggu pop up otomatis timbang ulas,Positive
1334,notifnya harap,Positive
1335,kren batu,Positive
1336,loh donpod,Positive
1337,trimakasih ngasi,Positive
1338,alhamdulillah,Positive
1339,jelek knp tidk,Negative
1340,please,Positive
1341,domisili masing silent mati dg keras panel baca,Positive
1342,mending nunggu doi ribu dapet,Positive
1343,bagussoalnya notifikasi lambat,Negative
1344,nyamantap bro bmkgcuaca bmkghujan,Positive
1345,otomatis minim,Negative
1346,ngaconya,Negative
1347,laut,Positive
1348,alami and antisipasi lindung,Positive
1349,lokal,Negative
1350,gabisa atur,Negative
1351,tuk otomatis jgn cari manual jg otomatis pilih,Positive
